handle,name,developer,description,rating,reviews,category,has_free_plan,min_price,max_price,url,built_for_shopify,launched,n_languages,launched_dt,age_months,reviews_per_month
x,Amai Upsell+ Volume Discounts,Amai,"Easily incentivizing customers to buy more on your Shopify store with Tiered Discounts, Free Gifts, Buy X Get Y, and Cross-Sells.",4.1,132.0,marketing-and-conversion-promotions-discounts,True,19.99,49.99,https://apps.shopify.com/x,True,"May 8, 2017",1.0,2017-05-08,110.61103810775295,1.1933709533709536
x,Componently: Banners & UI,Componently,,5.0,2.0,store-design-notifications-banners,True,,,https://apps.shopify.com/x,True,"April 9, 2024",1.0,2024-04-09,27.562417871222074,0.07256257449344458
x,Quill AI Blog Builder,UDS ,"SEO-ready blog posts that link to your products and publish automatically. Cited research, no hallucinations. Free tier available.",,0.0,store-design-content-blogs,True,10.0,39.0,https://apps.shopify.com/x,True,"May 27, 2026",1.0,2026-05-27,2.0039421813403417,0.0
x,PixelPro: Easy Pixel Install,AdTrace,,,0.0,marketing-and-conversion-advertising-ads,True,27.0,87.0,https://apps.shopify.com/x,False,"November 30, 2020",1.0,2020-11-30,67.83837056504599,0.0
x,年齢確認ポップアップ・酒類対応 ‑ AgeCheck,Psyve Inc.,酒類など年齢確認が必要な商品を扱うストアに、年齢確認ポップアップとカートのチェックボックスをコード編集なしで追加。対象商品の指定や生年月日での判定にも対応。7日間の無料トライアルで今すぐお試しください。,,0.0,store-management-security-legal,True,5.0,5.0,https://apps.shopify.com/x,True,"July 20, 2026",1.0,2026-07-20,0.22996057818659657,0.0
x,AICRAFT ‑ Product Image Editor,Sell Quicky,"Turn any product photo into a polished, on-brand shot with AI. Try outfits on models, fix lighting, publish to Shopify in one click. No designer needed.",,0.0,store-design-images-and-media-image-editor,True,6.99,49.99,https://apps.shopify.com/x,True,"June 17, 2026",1.0,2026-06-17,1.314060446780552,0.0
x,Announcement Bar ‑ Govynex,Govynex,"Add customizable announcement bars to your Shopify store. Live preview, AI copy, geo targeting, countdown timers, A/B testing, and analytics. Free to install.",,0.0,store-design-notifications-banners,True,,,https://apps.shopify.com/x,True,"July 6, 2026",1.0,2026-07-06,0.6898817345597897,0.0
x,Cost+: Advanced POS Discounts,Made Simple Apps,"Cost+ seamlessly integrates with Shopify POS, empowering merchants to swiftly apply cost-based discounts to their cart.",5.0,2.0,marketing-and-conversion-promotions-discounts,True,4.99,14.99,https://apps.shopify.com/x,True,"October 26, 2023",1.0,2023-10-26,33.01576872536137,0.06057711442786069
x,StockPalette ‑ Quick Inventory,Theme-X,,,0.0,orders-and-shipping-inventory-inventory-optimization,False,,,https://apps.shopify.com/x,True,"May 28, 2026",1.0,2026-05-28,1.9710906701708277,0.0
x,CashShield,"Atlas & Lila, Inc.","Control Cash on Delivery at checkout. Hide, rename, or reorder COD by cart total, pin code, customer tags, and product type. Built for India and SEA markets.",,0.0,,True,19.99,19.99,https://apps.shopify.com/x,False,"May 8, 2026",1.0,2026-05-08,2.628120893561104,0.0
x,Saio: Daily Deals Calendar,PreviewX,"With our Saio: Daily Deals Calendar, you can offer year-round promotions and discounts to your customers.",3.0,17.0,selling-products-digital-goods-and-services-event-booking,True,,,https://apps.shopify.com/x,True,"November 13, 2019",1.0,2019-11-13,80.42049934296978,0.21138888888888888
x,Wizy Product Recommendation,PATH,Customizable banners with Wizy Product Recommendation App,,0.0,,True,4.99,4.99,https://apps.shopify.com/x,True,"June 21, 2023",1.0,2023-06-21,37.187910643889616,0.0
x,Mobix ‑ Mobile App Builder,ZendApps,Turn your Shopify store into a powerful mobile shopping app with Mobix. Mobix helps you create fully functional Android and iOS apps without writing code.,,0.0,store-design-storefronts-mobile-app-builder,True,49.0,49.0,https://apps.shopify.com/x,True,"June 2, 2025",1.0,2025-06-02,13.797634691195794,0.0
x,Zestard Popular Products,Zestard Technologies,,4.0,1.0,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,4.99,4.99,https://apps.shopify.com/x,False,"June 7, 2018",1.0,2018-06-07,97.634691195795,0.010242261103633916
x,NP掛け払い 請求書発行依頼アプリ,Colony Interactive,,,0.0,,True,,,https://apps.shopify.com/x,True,"November 25, 2022",1.0,2022-11-25,44.021024967148485,0.0
x,2folk: AI Sales Chat & Revenue,2folk,,,0.0,store-management-support-chat,True,10.0,50.0,https://apps.shopify.com/x,True,"May 26, 2026",1.0,2026-05-26,2.0367936925098555,0.0
x,Supercart,"ApollosWave, LLC","Fully customizable Shopify cart drawer with powerful unlimited bundles, product recommendations, Upsells, reviews and Extra Services to increase revenue & con..",5.0,34.0,marketing-and-conversion-checkout-cart-customization,True,9.99,27.99,https://apps.shopify.com/x,True,"April 8, 2021",1.0,2021-04-08,63.60052562417871,0.5345867768595042
x,Simon Data,Simon Data,,,0.0,,True,,,https://apps.shopify.com/x,True,"July 9, 2024",1.0,2024-07-09,24.57293035479632,0.0
x,Shipit,Uniwin,,,0.0,,True,5.0,5.0,https://apps.shopify.com/x,True,"September 19, 2022",1.0,2022-09-19,46.222076215505915,0.0
x,Shipdate,Forged Apps,,5.0,1.0,orders-and-shipping-shipping-solutions-shipping,True,7.0,15.0,https://apps.shopify.com/x,True,"October 13, 2023",1.0,2023-10-13,33.44283837056504,0.02990176817288802
x,Camweara Ring Sizer,camweara,Help customers find the perfect ring size with Camweara Ring Sizer. Add an interactive ring size finder and customizable size charts to reduce returns and boost,5.0,4.0,store-design-product-display-product-comparison,True,39.0,89.0,https://apps.shopify.com/x,True,"March 2, 2026",1.0,2026-03-02,4.829172141918528,0.8282993197278912
x,Refund Guard,plugins,"Preview non-refundable Shopify refund fees before you refund. Covers Klarna, Afterpay, card processing & BNPL merchant fees—order alerts, dashboard & simulator.",,0.0,,True,10.0,10.0,https://apps.shopify.com/x,False,"June 26, 2026",1.0,2026-06-26,1.0183968462549278,0.0
x,Flare: Delivery Date Picker,Flare,"Customers choose delivery dates. 700+ brands cut failed deliveries and support tickets, saving 40+ hrs/month. Lead times, zones, pickup. 5.0★ rated. Free trial.",4.9,108.0,orders-and-shipping-shipping-solutions-delivery-and-pickup,True,39.0,599.0,https://apps.shopify.com/x,True,"November 23, 2023",1.0,2023-11-23,32.09592641261498,3.364912998976459
x,Bundlora BYOB & Bundle Builder,TheLeanApps,"Create mix-and-match, quantity-based, or BOGO bundle builders for your store. Automatic discounts, product filtering, and built-in analytics included.",,0.0,marketing-and-conversion-upsell-and-bundles-product-bundles,True,9.99,9.99,https://apps.shopify.com/x,True,"August 28, 2025",1.0,2025-08-28,10.939553219448094,0.0
x,Daisycon Performance Marketing,Daisycon,Boost and measure your e-commerce success with traffic and sales from the Daisycon performance based affiliate network.,3.0,2.0,marketing-and-conversion-advertising-affiliate-programs,True,,,https://apps.shopify.com/x,False,"June 8, 2022",1.0,2022-06-08,49.60578186596583,0.04031788079470199
x,Advanced PreOrder‑ Partial pay,Shine Dezign Infonet,"Boost sales with our Advanced pre-order app. Advanced features include partial payments, back-in-stock alerts, and customizable badges. Try it now!",4.6,156.0,marketing-and-conversion-upsell-and-bundles-pre-orders,True,3.99,30.99,https://apps.shopify.com/x,False,"April 18, 2018",1.0,2018-04-18,99.2772667542707,1.5713567174056915
x,Smaily Connect,Smaily,Smaily Campaign Intelligence writes personalised product picks into every campaign — and learns from what your customers actually buy.,,0.0,marketing-and-conversion-marketing-email-marketing,True,,,https://apps.shopify.com/x,False,"November 22, 2019",1.0,2019-11-22,80.12483574244415,0.0
x,Shop the Clothing Combination,Creatives Data,Drive cross-sells by showcasing complete outfits on product pages. Customers can add matching items to cart instantly. ,,0.0,marketing-and-conversion-upsell-and-bundles-product-bundles,True,1.99,20.0,https://apps.shopify.com/x,True,"May 19, 2026",1.0,2026-05-19,2.266754270696452,0.0
x,Bundle Builder,dharma.h Software Technologies Private Limited,"Create custom product bundles, apply flexible discounts, and increase sales with Bundle Builder. Drive conversions and maximize revenue effortlessly.",,0.0,marketing-and-conversion-upsell-and-bundles-product-bundles,True,29.0,59.0,https://apps.shopify.com/x,True,"June 23, 2025",1.0,2025-06-23,13.107752956636006,0.0
x,Popseekl,Popseekl,Popseekl is where new generations shop from the hottest brands and creators around. This app allows brands to seamlessly sync their store to our marketplace.,,0.0,,True,,,https://apps.shopify.com/x,False,"October 10, 2023",1.0,2023-10-10,33.54139290407359,0.0
x,Shelflife: low stock forecasts,msfts,"Shelflife predicts exactly when your products sell out and alerts you before it's too late. Proven forecasting, stock alerts, and purchase order tracing.",,0.0,orders-and-shipping-inventory-inventory-optimization,True,35.0,35.0,https://apps.shopify.com/x,True,"June 1, 2026",1.0,2026-06-01,1.8396846254927726,0.0
x,Mega Product Tabs,Mega Profit Apps,Create dynamic product tabs with Mega Product Tabs for Shopify. Organize product info and improve UX across all devices.,,0.0,,True,1.59,1.99,https://apps.shopify.com/x,True,"September 25, 2024",1.0,2024-09-25,22.010512483574242,0.0
x,Findify Search & Merchandise,Findify,,4.6,65.0,store-design-search-and-navigation-search-and-filters,True,499.0,799.0,https://apps.shopify.com/x,False,"February 12, 2015",4.0,2015-02-12,137.4178712220762,0.473009801577815
x,Wordesk AI Chatbot & Live Chat,Biens Limited,"Boost customer support and sales with an AI assistant trained on your store’s content. Works across WhatsApp, Instagram, and web chat.",,0.0,store-management-support-chat,True,19.99,89.99,https://apps.shopify.com/x,True,"July 7, 2025",1.0,2025-07-07,12.64783180026281,0.0
x,Avalonae Pixel,tidal matrix investment group limited,"Install Meta Pixel with one click and send server-side conversion events via CAPI. Webhook safety net, attribution dashboard, and GDPR-ready. No code required.",,0.0,marketing-and-conversion-advertising-ads,True,9.99,24.99,https://apps.shopify.com/x,False,"May 20, 2026",10.0,2026-05-20,2.2339027595269383,0.0
x,Vocato ‑ Vocatives & Name days,Appfleece,,,0.0,,True,,,https://apps.shopify.com/x,True,"July 1, 2026",3.0,2026-07-01,0.8541392904073587,0.0
x,SuperBot: AI Support Agent,SuperBot,"Add AI support and live chat to your store. Train answers on store content, recommend products, help customers track orders, and manage conversations in one inb",,0.0,store-management-support-chat,True,25.0,60.0,https://apps.shopify.com/x,True,"December 5, 2025",1.0,2025-12-05,7.687253613666228,0.0
x,SwipeReel: Shoppable Video UGC,ByteInfy,"Turn Instagram Reels, TikTok & UGC into shoppable video feeds on Shopify. Tag products, drive sales with social proof. Free plan available.",5.0,3.0,store-design-images-and-media-video-and-livestream,True,,,https://apps.shopify.com/x,True,"February 18, 2026",19.0,2026-02-18,5.223390275952694,0.5743396226415094
x,Raffle 315 | Exclusive Raffles,"Huckleberry, Inc.（ハックルベリー）",Raffle 315はShopifyでの抽選販売を自動化し、限定商品等の販売を円滑にします。無制限の応募受付、ランダム・手動の柔軟な当選選定、一括落選処理に対応。当選者には購入用メールを自動送信し、ストアの決済方法で安全に購入頂けます。当落に応じた顧客タグ付与により、次回のメルマガ等のマーケティング活用も簡単です。,,0.0,,True,,,https://apps.shopify.com/x,False,"August 2, 2024",1.0,2024-08-02,23.78449408672799,0.0
x,MambaSMS Email &SMS Marketing,Mamba Digital Info Tech Company,edm,5.0,5.0,marketing-and-conversion-marketing-email-marketing,True,1.0,20.0,https://apps.shopify.com/x,False,"December 6, 2021",1.0,2021-12-06,55.65045992115637,0.08984651711924439
x,Persistent Cart Recovery,Magefan,"Sync cart in your store across devices and browsers to reduce cart abandonment, improve retention and boost sales with Magefan Persistent Cart Recovery app!",,0.0,marketing-and-conversion-marketing-abandoned-cart,True,,,https://apps.shopify.com/x,True,"January 30, 2026",1.0,2026-01-30,5.847568988173456,0.0
x,PDF to Order by LevelOps,LevelOps,"Stop retyping B2B purchase orders. AI turns customer emails, PDFs, and Excel files into Shopify draft orders. No templates, no SKU table needed.",5.0,18.0,orders-and-shipping-orders-order-editing,True,100.0,250.0,https://apps.shopify.com/x,True,"July 3, 2025",1.0,2025-07-03,12.779237844940866,1.4085347043701801
x,OrderNXT,CargoNXT Sp z o o,"Streamline Shopify order fulfillment with label creation, customs forms, and multi-carrier support — all in one easy-to-use shipping platform.",5.0,1.0,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/x,False,"July 24, 2025",3.0,2025-07-24,12.089356110381077,0.08271739130434783
x,Shaku: Size Recommendation,shaku,Reduce return rates and boost customer satisfaction with Shaku – the AI-powered size measurement app for Shopify clothing stores with easy installation.,,0.0,,True,,,https://apps.shopify.com/x,True,"June 27, 2025",1.0,2025-06-27,12.976346911957949,0.0
x,Brush ‑ Checkout Branding,Konstantin Barashkov,"Customize your checkout. Control branding, fonts, button styles, and forms. Apply ready-made themes and use version history to roll back changes anytime.",,0.0,,True,23.0,23.0,https://apps.shopify.com/x,True,"May 22, 2026",1.0,2026-05-22,2.1681997371879107,0.0
x,Teescape: Print On Demand,Teescape,"Easy to launch your print-on-demand business without hidden costs or gated features.  Faster, more consistent fulfillment.  Most order ship in 4 days or less.",4.6,19.0,finding-products-sourcing-options-print-on-demand-pod,True,,,https://apps.shopify.com/x,False,"November 26, 2015",1.0,2015-11-26,127.98948751642575,0.14844969199178645
x,DPDP Compliance India,.mybuildspace,"DPDP-ready consent, privacy center, and data requests for Shopify stores in India.",,0.0,store-management-security-legal,True,,,https://apps.shopify.com/x,True,"November 26, 2025",1.0,2025-11-26,7.982917214191852,0.0
x,Datos Boleta/Factura Chile,Lab51,"Solicita RUT, razón social y otros datos tributarios en carrito, checkout o POS. Usa los datos para generar documentos con tu facturador electrónico.",,0.0,marketing-and-conversion-checkout-cart-customization,True,8.0,40.0,https://apps.shopify.com/x,True,"September 10, 2025",1.0,2025-09-10,10.512483574244415,0.0
